id	possess
BS28-066	8
BS28-067	2
BS28-068	2
BS28-069	5
BS28-070	2
BS28-071	9
BS28-072	5
BS28-073	2
BS28-074	1
BS28-075	2
BS28-076	2
BS28-077	2
BS28-078	4
BS28-079	12
BS28-080	2
BS28-081	3
BS28-082	3
BS28-083	2
BS28-X01	1
BS28-X02	1
BS28-X03	2
BS28-X07	1
BS29-001	1
BS29-003	1
BS29-004	1
BS29-005	4
BS29-007	2
BS29-009	1
BS29-010	1
BS29-011	3
BS29-013	1
BS29-014	1
BS29-015	1
BS29-017	3
BS29-018	3
BS29-019	1
BS29-022	1
BS29-023	3
BS29-024	1
BS29-028	1
BS29-029	2
BS29-030	2
BS29-031	1
BS29-032	2
BS29-033	1
BS29-034	2
BS29-036	2
BS29-037	3
BS29-039	1
BS29-041	1
BS29-042	3
BS29-045	1
BS29-046	2
BS29-047	1
BS29-049	2
BS29-050	5
BS29-056	1
BS29-058	2
BS29-059	1
BS29-060	1
BS29-062	1
BS29-063	2
BS29-064	2
BS29-065	3
BS29-067	1
BS29-068	2
BS29-069	1
BS29-071	1
BS29-073	1
BS29-077	1
BS29-078	1
BS29-080	4
BS29-081	1
BS29-082	1
BS29-083	1
BS29-X01	1
BS29-X02	1
BS29-X05	2
BS29-X07	1
BS29-X08	4
BS30-001	3
BS30-002	3
BS30-005	1
BS30-009	1
BS30-010	2
BS30-012	1
BS30-014	1
BS30-015	1
BS30-016	3
BS30-018	2
BS30-019	2
BS30-023	1
BS30-025	5
BS30-027	1
BS30-028	3
BS30-029	2
BS30-030	3
BS30-031	1
BS30-033	1
BS30-034	1
BS30-036	2
BS30-040	3
BS30-041	1
BS30-042	1
BS30-047	1
BS30-049	3
BS30-050	1
BS30-054	1
BS30-055	1
BS30-057	3
BS30-058	3
BS30-059	2
BS30-060	3
BS30-061	3
BS30-062	3
BS30-063	2
BS30-064	1
BS30-066	4
BS30-067	1
BS30-068	1
BS30-069	3
BS30-070	1
BS30-071	3
BS30-072	1
BS30-074	2
BS30-075	4
BS30-076	1
BS30-083	8
BS30-X02	1
BS30-X03	1
BS30-X05	1
BS30-X06	3
BS30-X07	2
BS30-X08	3
BS31-001	1
BS31-002	1
BS31-003	1
BS31-004	1
BS31-006	9
BS31-008	1
BS31-010	1
BS31-013	2
BS31-015	1
BS31-017	1
BS31-018	1
BS31-021	1
BS31-024	1
BS31-025	1
BS31-027	5
BS31-028	3
BS31-029	3
BS31-030	5
BS31-031	1
BS31-036	1
BS31-037	2
BS31-040	3
BS31-041	1
BS31-042	5
BS31-043	3
BS31-045	1
BS31-048	3
BS31-049	5
BS31-052	3
BS31-053	1
BS31-055	2
BS31-057	1
BS31-058	1
BS31-059	1
BS31-061	3
BS31-070	9
BS31-073	3
BS31-077	2
BS31-079	1
BS31-080	2
BS31-082	2
BS31-085	1
BS31-086	1
BS31-087	1
BS31-088	8
BS31-089	3
BS31-090	4
BS31-091	1
BS31-092	5
BS31-094	1
BS31-095	1
BS31-096	1
BS31-099	7
BS31-100	6
BS31-101	2
BS31-104	1
BS31-105	3
BS31-107	9
BS31-108	1
BS31-109	11
BS31-111	2
BS31-112	14
BS31-X01	2
BS31-X02	1
BS31-X03	4
BS31-X04	3
BS31-X05	1
BS31-CP03	1
BS31-CP04	3
BS32-001	2
BS32-002	3
BS32-003	2
BS32-004	2
BS32-005	3
BS32-007	1
BS32-008	1
BS32-010	10
BS32-011	3
BS32-012	2
BS32-014	2
BS32-016	1
BS32-017	3
BS32-018	1
BS32-019	3
BS32-020	1
BS32-021	4
BS32-022	1
BS32-023	2
BS32-024	1
BS32-025	1
BS32-026	2
BS32-027	1
BS32-028	4
BS32-029	6
BS32-030	3
BS32-031	4
BS32-032	5
BS32-034	1
BS32-035	3
BS32-036	2
BS32-037	2
BS32-038	1
BS32-039	3
BS32-040	1
BS32-041	2
BS32-042	1
BS32-043	1
BS32-045	1
BS32-048	1
BS32-054	3
BS32-055	3
BS32-056	2
BS32-057	3
BS32-059	3
BS32-062	1
BS32-063	5
BS32-064	1
BS32-065	4
BS32-066	3
BS32-067	1
BS32-068	10
BS32-069	1
BS32-071	8
BS32-072	10
BS32-073	1
BS32-074	2
BS32-075	1
BS32-076	1
BS32-077	1
BS32-078	41
BS32-080	1
BS32-081	2
BS32-X01	2
BS32-X02	1
BS32-X03	3
BS32-X04	1
BS32-XX02	1
BS32-CP01	3
BS32-CP02	1
BS33-001	4
BS33-002	3
BS33-003	3
BS33-004	3
BS33-005	1
BS33-007	1
BS33-008	1
BS33-009	1
BS33-010	1
BS33-011	4
BS33-012	1
BS33-013	2
BS33-015	2
BS33-019	1
BS33-020	5
BS33-021	1
BS33-023	4
BS33-024	1
BS33-025	3
BS33-028	3
BS33-031	2
BS33-032	3
BS33-033	2
BS33-034	1
BS33-036	1
BS33-038	2
BS33-040	3
BS33-041	1
BS33-042	1
BS33-043	1
BS33-046	1
BS33-047	1
BS33-048	1
BS33-049	1
BS33-050	3
BS33-052	1
BS33-054	1
BS33-055	1
BS33-056	2
BS33-059	1
BS33-060	2
BS33-061	3
BS33-062	4
BS33-063	3
BS33-064	1
BS33-065	2
BS33-066	1
BS33-067	2
BS33-068	1
BS33-070	1
BS33-071	4
BS33-072	3
BS33-074	7
BS33-076	2
BS33-077	1
BS33-078	4
BS33-079	75
BS33-082	5
BS33-X01	1
BS33-X02	3
BS33-X05	1
BS33-CP01	1
BS33-CP03	4
BS34-002	1
BS34-003	3
BS34-004	2
BS34-005	1
BS34-006	3
BS34-008	1
BS34-010	1
BS34-011	1
